IP:Port,Loss,Latency
162.159.192.125:939,0%,3.35
188.114.96.169:943,0%,3.35
188.114.99.242:942,0%,3.35
188.114.98.167:2506,0%,3.35
162.159.192.183:880,0%,3.36
162.159.192.230:2408,0%,3.37
188.114.98.154:2371,0%,3.37
188.114.98.26:903,0%,3.38
188.114.98.203:2371,0%,3.38
188.114.97.120:890,0%,3.38
162.159.192.92:880,0%,3.38
162.159.192.143:955,0%,3.38
188.114.98.208:4198,0%,3.39
162.159.195.218:3581,0%,3.39
188.114.97.5:4233,0%,3.39
188.114.99.41:7156,0%,3.40
188.114.99.18:1018,0%,3.40
162.159.195.226:500,0%,3.40
188.114.98.192:4177,0%,3.40
162.159.192.246:8886,0%,3.40
188.114.98.215:859,0%,3.41
162.159.192.44:5956,0%,3.41
188.114.97.240:2371,0%,3.41
188.114.96.140:500,0%,3.41
188.114.99.77:500,0%,3.41
162.159.195.4:942,0%,3.41
188.114.96.103:4500,0%,3.42
188.114.99.168:968,0%,3.42
188.114.98.73:4198,0%,3.42
162.159.192.135:1701,0%,3.43
188.114.96.152:1070,0%,3.44
162.159.195.90:988,0%,3.44
188.114.98.116:5279,0%,3.44
162.159.195.219:8319,0%,3.45
188.114.97.146:1070,0%,3.45
188.114.99.176:903,0%,3.45
188.114.97.179:1070,0%,3.46
188.114.97.42:946,0%,3.46
188.114.99.126:894,0%,3.47
188.114.98.91:1701,0%,3.47
188.114.98.169:7103,0%,3.48
188.114.99.207:1843,0%,3.48
188.114.99.185:7559,0%,3.50
162.159.195.206:890,0%,3.51
188.114.99.104:1018,0%,3.52
162.159.195.192:5956,0%,3.53
188.114.98.129:854,0%,3.53
162.159.192.31:1014,0%,3.53
162.159.192.176:7559,0%,3.53
162.159.195.214:903,0%,3.53
162.159.192.9:8742,0%,3.53
162.159.192.34:8854,0%,3.53
188.114.97.233:987,0%,3.53
162.159.192.163:988,0%,3.54
162.159.195.155:4233,0%,3.54
188.114.96.216:5956,0%,3.55
188.114.97.37:878,0%,3.55
188.114.98.170:1701,0%,3.55
188.114.98.56:894,0%,3.55
162.159.195.231:908,0%,3.55
188.114.97.91:2506,0%,3.55
188.114.98.224:890,0%,3.56
162.159.192.112:2371,0%,3.56
188.114.98.183:7103,0%,3.56
162.159.192.218:854,0%,3.57
188.114.98.25:878,0%,3.57
188.114.96.109:943,0%,3.57
162.159.195.226:4198,0%,3.57
162.159.192.107:1843,0%,3.58
188.114.96.137:880,0%,3.58
162.159.192.85:939,0%,3.59
162.159.195.118:987,0%,3.59
162.159.192.60:955,0%,3.60
162.159.195.57:903,0%,3.60
162.159.195.2:7281,0%,3.60
188.114.97.47:3476,0%,3.61
162.159.195.213:3476,0%,3.61
162.159.192.232:3854,0%,3.61
162.159.195.187:8319,0%,3.62
188.114.96.93:1701,0%,3.62
188.114.97.89:4500,0%,3.62
188.114.98.222:928,0%,3.62
162.159.192.50:1701,0%,3.63
188.114.98.106:500,0%,3.63
162.159.192.111:5956,0%,3.64
188.114.99.162:968,0%,3.64
188.114.98.171:1180,0%,3.64
188.114.98.9:945,0%,3.64
188.114.96.106:880,0%,3.64
188.114.96.103:3476,0%,3.64
188.114.98.86:1074,0%,3.65
188.114.99.32:3476,0%,3.65
188.114.99.189:880,0%,3.66
188.114.96.213:891,0%,3.66
162.159.192.96:1701,0%,3.66
162.159.192.217:2371,0%,3.66
162.159.192.249:7281,0%,3.67
188.114.99.172:942,0%,3.67
188.114.97.213:939,0%,3.67
188.114.96.168:890,0%,3.67
162.159.195.47:7156,0%,3.67
188.114.97.27:8886,0%,3.68
188.114.97.164:894,0%,3.68
188.114.98.229:2506,0%,3.69
162.159.192.182:854,0%,3.69
188.114.96.18:5956,0%,3.69
188.114.98.171:1387,0%,3.69
162.159.195.31:1701,0%,3.70
188.114.97.209:4500,0%,3.70
162.159.195.106:934,0%,3.71
162.159.192.214:7152,0%,3.71
162.159.192.242:1843,0%,3.71
162.159.192.123:903,0%,3.71
188.114.99.230:1180,0%,3.71
188.114.99.50:880,0%,3.72
188.114.99.213:878,0%,3.72
