IP Address,Port,Region,ASN
51.161.197.128,443,AU,OVH SYD2 DC
66.226.145.131,443,AU,Mammoth Media Pty Ltd
180.149.44.124,8443,AZ,GCore Labs SA
31.58.237.197,2096,AZ,Leased IPv4 Blocks
31.58.237.198,2096,AZ,Leased IPv4 Blocks
31.58.237.199,2096,AZ,Leased IPv4 Blocks
31.58.237.200,2096,AZ,Leased IPv4 Blocks
85.185.86.111,2053,AZ,Leased IPv4 Blocks
94.20.154.66,443,AZ,Leased IPv4 Blocks
185.164.32.189,443,BA,Cloudflare London LLC
185.99.2.175,443,BA,Globalhost doo  Virtual Private Servers
103.115.253.253,443,BD,Star Internet Service
103.159.170.124,443,BD,MD AKASH AS ONLINE
103.48.16.37,443,BD,Bangladesh Computer Council
103.81.172.34,443,BD,ADN Telecom Ltd
154.205.144.113,443,BD,Lightnode Limited
141.227.137.177,2053,BE,OVH BE
141.227.186.38,2053,BE,OVH BE
141.98.233.6,443,BE,GLOBAL CONNECTIVITY SOLUTIONS LLP
148.177.146.71,443,BE,Johnson  Johnson
194.71.227.213,443,BE,EDIS IPv6 Infrastructure in Belgium
35.210.99.51,443,BE,Google LLC
35.241.172.224,443,BE,Google LLC
89.125.200.144,2053,BE,Baxet Group Inc
103.249.134.29,443,BG,FIRST SERVER SOCIEDAD LIMITADA
104.143.206.87,443,BG,Baxet Group Inc
104.152.48.248,443,BG,Lirbg EOOD
13.140.29.170,443,BG,Lirbg EOOD
13.140.29.253,443,BG,Lirbg EOOD
13.140.29.45,443,BG,Lirbg EOOD
148.253.214.189,8443,BG,SEBEK sp z oo
148.253.214.60,443,BG,SEBEK sp z oo
164.5.249.34,443,BG,Lirbg EOOD
169.40.15.123,8443,BG,Lirbg EOOD
185.141.61.113,443,BG,Belcloud LTD
185.141.61.113,2053,BG,Belcloud LTD
185.148.146.9,443,BG,Belcloud LTD
185.190.250.99,443,BG,Friendhosting LTD
185.203.116.131,443,BG,Redcluster LTD
185.203.116.174,443,BG,Belcloud LTD
185.203.119.221,2053,BG,Redcluster LTD
185.204.53.58,443,BG,Virterion LLC
185.205.210.144,443,BG,Redcluster LTD
185.205.210.83,443,BG,Belcloud LTD
185.206.146.190,8443,BG,Belcloud LTD
185.214.99.235,443,BG,Lirbg EOOD
185.214.99.241,8443,BG,Lirbg EOOD
185.214.99.241,443,BG,Lirbg EOOD
185.223.252.104,443,BG,Lirbg EOOD
185.223.253.11,443,BG,Lirbg EOOD
185.223.253.115,443,BG,DA International Group Ltd
185.223.253.13,443,BG,Lirbg EOOD
185.223.253.130,443,BG,Lirbg EOOD
185.232.170.111,443,BG,FIRST SERVER SOCIEDAD LIMITADA
185.232.170.226,443,BG,FIRST SERVER SOCIEDAD LIMITADA
185.232.171.125,2053,BG,FIRST SERVER SOCIEDAD LIMITADA
185.232.171.125,8443,BG,FIRST SERVER SOCIEDAD LIMITADA
185.240.147.103,2053,BG,Cifrova Kabelna Korporacia EOOD
185.82.218.224,443,BG,ITLDC EU2SOF Datacenter Network
185.82.218.224,8443,BG,ITLDC EU2SOF Datacenter Network
185.82.218.224,9443,BG,ITLDC EU2SOF Datacenter Network
193.239.160.134,443,BG,FIRST SERVER SOCIEDAD LIMITADA
193.239.160.89,443,BG,FIRST SERVER SOCIEDAD LIMITADA
194.87.230.132,443,BG,Baxet Group Inc
195.123.225.224,2053,BG,Green Floid LLC
195.123.225.224,8443,BG,Green Floid LLC
195.123.225.28,81,BG,Green Floid LLC
195.123.226.211,443,BG,GREEN FLOID LLC
2.27.105.199,443,BG,NetGrid Host LTD
212.113.118.25,443,BG,Friendhosting LTD
