185.36.147.70,443,BG,Friendhosting LTD
85.239.55.21,8443,BG,BlueVPS OU
91.210.166.145,443,BG,Friendhosting LTD
93.157.106.107,443,BG,ALEXHOST SRL
15.184.152.100,2087,BH,Amazon Data Services Bahrain
146.235.59.153,2053,BR,Oracle Corporation
146.235.59.153,8443,BR,Oracle Corporation
38.180.78.255,443,BR,3NT SOLUTIONS LLP
132.226.163.224,8443,BR,Oracle Public Cloud
38.180.79.9,443,BR,3NT SOLUTIONS LLP
168.138.141.235,2053,BR,Oracle Public Cloud
132.226.163.224,2053,BR,Oracle Public Cloud
144.22.144.168,4242,BR,Oracle Corporation
164.152.61.166,50478,BR,Oracle Corporation
189.1.128.29,443,BR,Predlink Rede de Telecomunicções Ltda
147.45.116.50,24443,BR,GLOBAL CONNECTIVITY SOLUTIONS LLP
201.16.130.6,443,BR,ALGAR TELECOM S/A
144.22.204.102,50317,BR,Oracle Corporation
147.45.116.61,8443,BR,GLOBAL CONNECTIVITY SOLUTIONS LLP
168.75.92.141,28053,BR,Oracle Corporation
156.154.245.83,443,CA,"Vercara, LLC"
172.93.32.131,23077,CA,Cluster Logic Inc
104.234.240.179,8443,CA,Private Customer
104.234.240.179,2053,CA,Private Customer
104.234.240.114,8443,CA,Private Customer
89.251.9.4,15466,CA,Deployish Limited
104.234.240.114,2053,CA,Private Customer
91.194.11.78,81,CA,DGTL TECH UK LLP
148.113.204.36,8443,CA,"OVH Hosting, Inc."
64.21.191.164,443,CA,N6 Cloud inc.
69.28.82.253,443,CA,"Atlantic.Net - Toronto, LLC."
172.98.207.58,443,CA,CENTRILOGICCANADA
69.28.83.244,443,CA,"Atlantic.Net - Toronto, LLC."
213.255.209.207,443,CA,Cloud Web Manage
51.222.156.8,8443,CA,"OVH Hosting, Inc."
213.255.209.189,443,CA,Cloud Web Manage
192.99.252.243,2053,CA,OVH SAS
148.113.204.36,2053,CA,"OVH Hosting, Inc."
35.183.163.195,443,CA,"Securly, Inc"
35.183.163.195,80,CA,"Securly, Inc"
35.182.7.190,80,CA,"Securly, Inc"
51.222.156.8,2053,CA,"OVH Hosting, Inc."
35.182.7.190,443,CA,"Securly, Inc"
137.184.168.222,8443,CA,"DigitalOcean, LLC"
172.105.26.112,2443,CA,Linode
137.184.168.222,2053,CA,"DigitalOcean, LLC"
64.15.75.112,2053,CA,eStruxture Data Centers Inc.
172.105.11.67,15223,CA,Linode
3.97.173.206,80,CA,"Securly, Inc"
138.197.152.31,2053,CA,"DigitalOcean, LLC"
138.197.152.31,8443,CA,"DigitalOcean, LLC"
199.48.102.83,443,CA,Server Cloud Canada Inc
150.230.27.23,16504,CA,Oracle Corporation
140.238.158.238,8080,CA,Oracle Public Cloud
140.238.158.238,443,CA,Oracle Public Cloud
192.18.159.164,36545,CA,Oracle Corporation
192.18.150.121,27620,CA,Oracle Corporation
209.200.246.130,443,CA,REGXA LLC
148.113.200.194,2053,CA,"OVH Hosting, Inc."
148.113.200.194,8443,CA,"OVH Hosting, Inc."
155.138.128.135,443,CA,"Vultr Holdings, LLC"
149.56.14.62,443,CA,"OVH Hosting, Inc."
167.114.67.25,443,CA,"OVH Hosting, Inc."
204.110.221.198,80,CA,"Securly, Inc"
207.61.86.114,443,CA,Empire Life
209.200.246.103,443,CA,REGXA LLC
66.70.200.9,2053,CA,OVH SAS
81.19.140.66,8443,CA,GLOBAL CONNECTIVITY SOLUTIONS LLP
156.154.208.11,443,CA,"Vercara, LLC"
156.154.245.84,443,CA,"Vercara, LLC"
91.192.102.92,443,CH,Datasource AG
91.245.224.37,2053,CH,GLB Bulut Teknolojisi Limited Sirketi
91.245.224.37,8443,CH,GLB Bulut Teknolojisi Limited Sirketi
45.95.232.203,8443,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
38.180.161.11,443,CH,3NT SOLUTIONS LLP
194.87.97.6,8443,CH,GLB Bulut Teknolojisi Limited Sirketi
94.247.42.207,443,CH,servinga GmbH
194.87.97.6,2053,CH,GLB Bulut Teknolojisi Limited Sirketi
95.183.51.10,8443,CH,Solar Communications GmbH
179.43.166.2,443,CH,PRIVATE LAYER INC
91.245.225.79,8443,CH,GLB Bulut Teknolojisi Limited Sirketi
95.183.51.10,2053,CH,Solar Communications GmbH
91.245.225.79,2053,CH,GLB Bulut Teknolojisi Limited Sirketi
194.135.22.181,443,CH,GLB Bulut Teknolojisi Limited Sirketi
185.195.69.200,8443,CH,Datasource AG
91.245.225.69,443,CH,GLB Bulut Teknolojisi Limited Sirketi
45.95.232.209,2053,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
45.95.232.203,2053,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
91.90.193.24,443,CH,Friendhosting LTD
38.180.15.45,443,CH,3NT SOLUTIONS LLP
45.85.93.243,2053,CH,Internet Utilities Europe and Asia Limited
185.195.69.200,2053,CH,Datasource AG
45.95.232.243,2053,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
38.180.85.203,443,CH,3NT SOLUTIONS LLP
45.85.93.121,443,CH,Internet Utilities Europe and Asia Limited
45.95.232.209,8443,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
45.95.232.232,8443,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
45.85.93.49,443,CH,Internet Utilities Europe and Asia Limited
45.95.232.115,2053,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
104.244.78.95,2083,CH,BuyVM
